"name","label"
"ws8a","In the last month, on average how many days drinking water was not available"
"ws9","Treat water to make safer for drinking"
"ws10a","Water treatment: Boil"
"ws10b","Water treatment: Add bleach/chlorine"
"ws10c","Water treatment: Strain it through a cloth"
"ws10d","Water treatment: Use water filter"
"ws10e","Water treatment: Solar disinfection"
"ws10f","Water treatment: Let it stand and settle"
"ws10g","Water treatment: Add camphor"
"ws10h","Water treatment: Add water tablets"
"ws10x","Water treatment: Other"
"ws10z","Water treatment: Missing"
"ws10nr","Water treatment: DK"
"ws10aa","Do you or your household  store drinking water"
"ws10bba","Storage is in a secured and covered vessel"
"ws10bbb","Open, exposed vessels"
"ws10bbc","Storage is out of reach of animals and infants"
"ws10bbd","Store in refrigerator/fridge/water dispenser"
"ws10bbx","Other Specify"
"ws10bbz","DK"
"ws10bbnr","No response"
"ws10cca","With drinking vessel or any vessel available"
"ws10ccb","Single/Designated collecting/Dispensing vessel"
"ws10ccc","Single/Designated collecting/Dispensing vessel"
"ws10ccx","Other"
"ws10ccz","DK"
"ws10ccnr","No response"
"ws11","Type of toilet facility"
"ws12","Pit latrine or septic tank ever been emptied"
"ws13","Place the contents were emptied"
"ws14","Location of the toilet faciltity"
"ws15","Toilet facility shared"
"ws16","Toilet shared with other household or with general public"
"ws17","Households using this toilet facility"
"hw1","Place where household members most often wash their hands"
"hw2","Water available at the place for handwashing"
"hw3","Soap or detergent present at place of handwashing"
"hw4","Usual place for handwashing"
"hw5","Soap/other material available for washing hands"
"hw6","Hand washing material shown"
"hw7a","Bar soap"
"hw7b","Detergent (Powder / Liquid / Paste)"
"hw7c","Ash / Mud / Sand"
"hw7nr","Missing"
"hw8a","After going to toilet"
"hw8b","After cleaning a baby"
"hw8c","Before eating"
"hw8d","Before preparing food"
"hw8e","Before feeding a child"
"hw8x","Other"
"hw8nr","No response"
"hw9a","After going to toilet"
"hw9b","After cleaning a baby"
"hw9c","Before eating"
"hw9d","Before preparing food"
"hw9e","Before feeding a child"
"hw9x","Other"
"hw9nr","No response"
"sa1","Salt iodization test outcome"
"sa2","Salt iodization recheck test outcome"
"wq1","Cluster number"
"wq2","Household number"
"measurer_id","Tester?s number"
"wq4","Supervisor's number"
"wq5d","Day of interview"
"wq5m","Month of interview"
"wq5y","Year of interview"
"wq6","HH selected for blank testing"
"wq8","Consent for water testing"
"wq31","Result of water quality testing"
"wq10h","Start of water quality test - Hour"
"wq10m","Start of water quality test - Minutes"
"wq23h","End of water quality test - Hour"
"wq23m","End of water quality test - Minutes"
"hh_water_sample_provided","A glass of water that you would give to a child to drink was provided"
"observe_hh_sample_collection","Household water sample collected"
"wq13","Water was collected from the source"
"wq14","Done anything to the water to make it safer to drink"
"wq15a","Water treatment: Boil"
"wq15b","Water treatment: Add bleach/chlorine"
"wq15c","Water treatment: Strain it through a cloth"
"wq15d","Water treatment: Use water filter"
"wq15e","Water treatment: Solar disinfection"
"wq15f","Water treatment: Let it stand and settle"
"wq15g","Water treatment: Add camphor"
"wq15h","Water treatment: Add water tablet"
"wq15x","Water treatment: Other"
"wq15z","Water treatment: DK"
"wq15nr","Water treatment: No response"
"wq16","Was the glass water from the main source"
"source_hh_sample","Source of water where the glass of water was collected"
"permission_water_sample_sc","Main source of water was shown"
"ec_sc_tst_conducted","Source water sample collected"
"wq20","HH selected for blank testing"
"ec_bk_tst_conducted","Blank water test available"
"wq24d","Day of interview"
"wq24m","Month of interview"
"wq24y","Year of interview"
"wq25h","End of water quality test - Hour"
"wq25m","End of water quality test - Minutes"
"ec_100_h","Household water test (100ml)"
"ec_100_s","Source water test (100ml)"
"ec_100_b","Blank water test (100ml)"
"hhsex","Sex of household head"
"hhage","Age of household head"
"stratum","NULL"
"ethnicity","Ethnicity of household head"
"helevel","Education of household head"
"hh53","Number of woman' questionnaires completed"
"hh54","Number of man' questionnaires completed [If household is selected for Questionna"
"hh50a","Number of men 15 - 49 years in interviewed households"
"hh55","Number of under - 5 questionnaires completed"
"hh56","Number of CF questionnaires completed (age 5-17 years)"
"oversampled","NULL"
"list_cat","NULL"
"hhweight","Household sample weight"
"wqhweight","Weight for household WQT"
"wqsweight","Weight for source WQT"
"wscore","Combined wealth score"
"windex5","Wealth index quintile"
"windex10","Percentile Group of com1"
"wscoreu","Urban wealth score"
"windex5u","Urban wealth index quintile"
"windex10u","Percentile Group of urb1"
"wscorer","Rural wealth score"
"windex5r","Rural wealth index quintile"
"windex10r","Percentile Group of rur1"
"id","NULL"
"hh_selected_source","HH selected for Water Quality Testing"
"wat_class","Main water source type"
"wat_imp","Main water source improved"
"same_source","Water sample from main source"
"source_sample_class","Source of sample type"
"accessible","NULL"
"accessible_cat","NULL"
"available","NULL"
"unavailable_reason","NULL"
"storage","RECODE of observe_HH_sample_collection (Household water sample collected)"
"treat_any","NULL"
"treat_boil","NULL"
"treat_chlorine","NULL"
"treat_filter","NULL"
"san_imp","RECODE of WS11 (Type of toilet facility)"
"san_cat","RECODE of WS11 (Type of toilet facility)"
"san_shared","NULL"
"hwws","NULL"
"animals","NULL"
"floor","NULL"
"hhsize5","Household size"
"windex3","3 quantiles of wscore"
"education","Education of household head"
"ec_result_h","Is an E. coli test result recorded"
"ec_result_h100","Is an E. coli test result recorded"
"ec_risk_h_1","Low risk: E. coli < 1 cfu/100 mL"
"ec_risk_h_2","Moderate risk: E. coli 1-10 cfu/100 mL"
"ec_risk_h_3","High risk: E. coli 11-100 cfu/100 mL"
"ec_risk_h_4","Very high risk: E. coli >100 cfu/100 mL"
"ec_result_s","Is an E. coli test result recorded"
"ec_result_s100","Is an E. coli test result recorded"
"ec_risk_s_1","Low risk: E. coli < 1 cfu/100 mL"
"ec_risk_s_2","Moderate risk: E. coli 1-10 cfu/100 mL"
"ec_risk_s_3","High risk: E. coli 11-100 cfu/100 mL"
"ec_risk_s_4","Very high risk: E. coli >100 cfu/100 mL"
"ec_result_b","Is an E. coli test result recorded"
"ec_result_b100","Is an E. coli test result recorded"
"ec_risk_b_1","Low risk: E. coli < 1 cfu/100 mL"
"ec_risk_b_2","Moderate risk: E. coli 1-10 cfu/100 mL"
"ec_risk_b_3","High risk: E. coli 11-100 cfu/100 mL"
"ec_risk_b_4","Very high risk: E. coli >100 cfu/100 mL"
"temp","NULL"
"ecpopweight_h","NULL"
"ecpopweight_s","NULL"
"popweight","NULL"
