"","ReleaseDate","SurveyId","MaxAgeWomen","FieldworkStart","MinAgeMen","ImplementingOrg","SurveyCharacteristicIds","SurveyType","SurveyYearLabel","IndicatorData","MinAgeWomen","SurveyYear","FieldworkEnd","DHS_CountryCode","NumberOfSamplePoints","CountryName","NumberOfWomen","SubregionName","MaxAgeMen","SurveyNum","SurveyStatus","NumberOfFacilities","UniverseOfMen","RegionName","UniverseOfWomen","Footnotes","PublicationDate","NumberofHouseholds","NumberOfMen"
"16","2009-03-24","BD2007DHS",49,"2007-03-01","15","National Institute for Population Research and Training (NIPORT)","11, 22, 21, 36, 24, 34, 26, 20, 13, 60, 5, 10, 6, 2, 16, 79, 33, 3, 101","DHS","2007",1,15,"2007","2007-08-01","BD","361","Bangladesh",10996,"South Asia","54",287,"Completed","","Ever Married Men","South & Southeast Asia","Ever Married Women","Data collected for women 10-49, indicators calculated for women 15-49","2009-03-01",10400,"3771"
"17","2013-02-04","BD2011DHS",49,"2011-07-01","15","National Institute of Population Research and Training (NIPORT) and Mitra and Associates of Dhaka","5, 41, 43, 46, 86, 22, 2, 15, 31, 68, 63, 24, 21, 14, 20, 17, 34, 13, 3, 10, 11, 61, 9, 26, 79, 101","DHS","2011",1,12,"2011","2011-12-01","BD","600","Bangladesh",17842,"South Asia","54",349,"Completed","","Ever Married Men","South & Southeast Asia","Ever Married Women","","2013-01-01",17141,"3997"
"18","2016-03-23","BD2014DHS",49,"2014-06-01","","National Institute of Population Research and Training (NIPORT) and Mitra and Associates of Dhaka","16, 2, 101, 31, 20, 22, 17, 13, 5, 3, 79, 10, 26, 24, 21, 107","DHS","2014",1,15,"2014","2014-11-01","BD","600","Bangladesh",17863,"South Asia","",461,"Completed","","","South & Southeast Asia","Ever Married Women","","2016-03-01",17300,""
"19","2020-12-14","BD2017DHS",49,"2017-10-01","","Mitra and Associates (MA)","38, 22, 92, 101, 31, 10, 43, 46, 9, 2, 41, 68, 79, 63, 69, 24, 21, 20, 17, 60, 3, 107","DHS","2017-18",1,15,"2017","2018-03-01","BD","672","Bangladesh",20127,"South Asia","",536,"Completed","","","South & Southeast Asia","Ever Married Women","","2020-10-01",19457,""
"20","1997-04-01","BJ1996DHS",49,"1996-06-01","20","Institute National de la Statistique","1, 2, 21, 24, 11, 32, 20, 13, 26, 101, 17, 79, 10","DHS","1996",1,15,"1996","1996-08-01","BJ","200","Benin",5491,"Western Africa","64",87,"Completed","200","All Men","Sub-Saharan Africa","All Women","","1997-04-01",4499,"1535"
"21","2002-06-01","BJ2001DHS",49,"2001-08-01","15","Institut National de la Statistique et de l'Analyse Economique","11, 24, 20, 14, 3, 34, 41, 101, 79, 33, 31, 13, 21, 15, 10, 26, 4, 8, 2","DHS","2001",1,15,"2001","2001-11-01","BJ","247","Benin",6219,"Western Africa","64",211,"Completed","247","All Men","Sub-Saharan Africa","All Women","","2002-06-01",5769,"2709"
"22","2008-01-22","BJ2006DHS",49,"2006-08-01","15","National Institute of Statistics and Economic Analysis (INSAE) in collaboration with AIDS"" National Program (PNLA) for HIV testing component","1, 60, 24, 21, 23, 11, 4, 34, 10, 57, 59, 36, 2, 31, 37, 20, 22, 17, 41, 14, 5, 79, 3, 33, 104, 101","DHS","2006",1,15,"2006","2006-11-01","BJ","750","Benin",17794,"Western Africa","64",289,"Completed","","All Men","Sub-Saharan Africa","All Women","The HIV Test Data were not scrambled, and are therefore not available for analysis.","2007-11-01",17511,"5321"
"23","2014-02-11","BJ2012DHS",49,"2011-12-01","15","The Institut National de l’Analyse Économique (INSAE), of the Ministry of Plan","20, 17, 43, 23, 69, 86, 41, 11, 10, 60, 26, 79, 89, 39, 5, 4, 59, 14, 57, 22, 3, 34, 31, 63, 24, 21, 90, 70, 104","DHS","2011-12",1,15,"2012","2012-03-01","BJ","750","Benin",16599,"Western Africa","64",420,"Completed","","All Men","Sub-Saharan Africa","All Women","The HIV Test Data were not scrambled, and are therefore not available for analysis.","2013-10-01",17422,"5180"
"24","2019-04-02","BJ2017DHS",49,"2017-11-01","15","Institut National de la Statistique et de l’Analyse Économique (INSAE)","6, 1, 67, 80, 90, 89, 86, 5, 11, 15, 41, 10, 43, 68, 70, 79, 26, 31, 22, 76, 63, 69, 14, 59, 20, 17, 34, 60, 3, 24, 21, 92","DHS","2017-18",1,15,"2017","2018-02-01","BJ","560","Benin",15928,"Western Africa","64",491,"Completed","","All Men","Sub-Saharan Africa","All Women","","2019-04-01",14156,"7595"
"25","1990-01-01","BO1989DHS",49,"1989-03-01","","Instituto Nacional de Estadística (INE)","60, 17, 69, 61, 1, 101, 10, 20, 9, 3","DHS","1989",1,15,"1989","1989-07-01","BO","676","Bolivia",7923,"South America","",28,"Completed","","","Latin America & Caribbean","All Women","","1990-01-01",8439,""
"26","1994-10-01","BO1994DHS",49,"1993-11-01","","Instituto Nacional de Estadística (INE)","2, 21, 22, 24, 1, 10, 61, 14, 101, 79","DHS","1994",1,15,"1994","1994-05-01","BO","616","Bolivia",8603,"South America","",65,"Completed","624","","Latin America & Caribbean","All Women","","1994-10-01",9114,""
"27","1998-12-01","BO1998DHS",49,"1998-03-01","15","Instituto Nacional de Estadistica, INE","21, 24, 15, 14, 69, 41, 101, 79, 10, 11, 85","DHS","1998",1,15,"1998","1998-09-01","BO","821","Bolivia",11187,"South America","64",98,"Completed","","All Men","Latin America & Caribbean","All Women","","1998-12-01",12109,"3780"
"28","2004-11-01","BO2003DHS",49,"2003-08-01","15","Instituto Nacional de Estadistica, INE","11, 6, 24, 21, 31, 15, 41, 14, 69, 16, 68, 13, 34, 67, 10, 1, 20, 33, 79, 3, 22, 76, 85, 32, 101","DHS","2003",1,15,"2003","2004-01-01","BO","1000","Bolivia",17654,"South America","64",238,"Completed","","All Men","Latin America & Caribbean","All Women","","2004-11-01",19207,"6230"
"29","2009-12-30","BO2008DHS",49,"2008-02-01","15","Instituto Nacional de Estadistica, Ministerio de Salud y Deportes, Programa Reforma de Salud e Instituto Nacional de Estadística","32, 11, 41, 10, 22, 6, 1, 33, 34, 24, 21, 14, 13, 16, 67, 31, 101, 36, 20, 79, 69, 26, 3, 85","DHS","2008",1,15,"2008","2008-06-01","BO","1000","Bolivia",16939,"South America","64",319,"Completed","","All Men","Latin America & Caribbean","All Women","","2009-10-01",19564,"6054"
"30","1989-08-01","BT1988DHS",49,"1988-08-01","","Family Health Division of the Ministry of Health, and Central Statistics Office of the Ministry of Finance and Development Planning","79, 3, 21, 20, 17, 101","DHS","1988",1,15,"1988","1988-12-01","BT","156","Botswana",4368,"Southern Africa","",23,"Completed","","","Sub-Saharan Africa","All Women","","1989-08-01",4473,""
"31","1987-12-01","BR1986DHS",44,"1986-05-01","","Sociedad Civil Bem-Estar Familiar no Brasil (BEMFAM)","76, 34, 10, 16, 17, 101","DHS","1986",1,15,"1986","1986-08-01","BR","351","Brazil",5892,"South America","",2,"Completed","","","Latin America & Caribbean","All Women","Data collected for women 15-44","1987-12-01",8408,""
"32","1997-03-01","BR1996DHS",49,"1996-03-01","15","Sociedad Civil Bem-Estar Familiar no Brasil (BEMFAM)","22, 21, 1, 20, 34, 10, 14, 17, 13, 3, 11, 101, 76","DHS","1996",1,15,"1996","1996-06-01","BR","842","Brazil",12612,"South America","59",85,"Completed","","All Men","Latin America & Caribbean","All Women","","1997-03-01",13283,"2949"
"33","1994-06-01","BF1993DHS",49,"1992-12-01","18","Institut National de la Statistique et de la Démographie (INSD)","2, 11, 21, 24, 26, 101, 10, 74","DHS","1993",1,15,"1993","1993-03-01","BF","230","Burkina Faso",6354,"Western Africa","",42,"Completed","222","All Men","Sub-Saharan Africa","All Women","","1994-06-01",5143,"1845"
"34","2000-05-01","BF1999DHS",49,"1998-11-01","15","Institut National de la Statistique et de la Démographie  (INSD)","1, 4, 11, 21, 24, 26, 101, 10","DHS","1998-99",1,15,"1999","1999-03-01","BF","210","Burkina Faso",6445,"Western Africa","59",116,"Completed","","All Men","Sub-Saharan Africa","All Women","","2000-05-01",4812,"2641"
"35","2004-09-01","BF2003DHS",49,"2003-06-01","15","Institut National de la Statistique et de la Démographie (INSD)","4, 31, 14, 17, 36, 57, 34, 22, 41, 24, 23, 10, 11, 13, 59, 1, 79, 101, 104, 33, 3, 21, 15, 26","DHS","2003",1,15,"2003","2003-11-01","BF","400","Burkina Faso",12477,"Western Africa","59",230,"Completed","","All Men","Sub-Saharan Africa","All Women","","2004-09-01",9097,"3605"
"36","2012-10-08","BF2010DHS",49,"2010-05-01","15","The Institut National de la Statistique et de la Démographie (INSD), of the Ministry of Economy and Plan (MOEP) in collaboration with the Ministry of Health (MOH)","41, 24, 21, 23, 6, 4, 1, 5, 59, 69, 26, 75, 76, 20, 22, 17, 34, 13, 3, 79, 11, 105, 39, 10, 31, 14, 57, 33, 90, 89, 101","DHS","2010",1,15,"2010","2011-01-01","BF","574","Burkina Faso",17087,"Western Africa","59",329,"Completed","","All Men","Sub-Saharan Africa","All Women","","2012-04-01",14424,"7307"
"37","2015-10-16","BF2014MIS",49,"2014-09-01","","The National Institute of Statistics and Demography (Institute  National de la Statistique et de la Demographie - INSD) ","41, 15, 79, 8, 57, 90, 89, 26, 101","MIS","2014",1,15,"2014","2014-10-01","BF","162","Burkina Faso",8111,"Western Africa","",481,"Completed","","","Sub-Saharan Africa","All Women","","2015-07-01",6448,""
"38","2019-07-08","BF2017MIS",49,"2017-11-01","","Institute of Public Health (IPH) and Institute of Statistics (INSTAT)","41, 90, 89, 101, 92, 57","MIS","2017-18",1,15,"2017","2018-03-01","BF","252","Burkina Faso",7628,"Western Africa","",526,"Completed","","","Sub-Saharan Africa","All Women","","2018-12-01",6322,""
"39","2023-09-07","BF2021DHS",49,"2021-07-01","15","Burkina Faso National Institute of Statistics and Demography (Institut National de la Statistique et de la Démographie - INSD)","22, 31, 16, 33, 76, 79, 69, 24, 21, 57, 59, 20, 60, 34, 3, 110, 124, 134, 41, 10, 70, 39, 89, 11, 5, 6, 4, 1, 26, 90, 92, 14, 30, 106, 67","DHS","2021",1,15,"2021","2021-12-01","BF","514","Burkina Faso",17659,"Western Africa","59",562,"Completed","","All Men","Sub-Saharan Africa","All Women","","2023-08-15",13251,"7720"
"40","1988-10-01","BU1987DHS",49,"1987-03-01","","Institut National de la Statistique et de la Démographie (INSD)","2, 12, 11, 10, 79, 101","DHS","1987",1,15,"1987","1987-07-01","BU","144","Burundi",3970,"Eastern Africa","",16,"Completed","99","Husbands","Sub-Saharan Africa","All Women","","1988-10-01",3868,"542"
"41","2012-07-27","BU2010DHS",49,"2010-08-01","15","Institut de Statistiques et d'Études Économiques (ISTEEBU)","1, 31, 14, 57, 59, 20, 22, 17, 34, 13, 5, 3, 41, 10, 26, 69, 11, 24, 21, 23, 79, 101, 104","DHS","2010",1,15,"2010","2011-01-01","BU","376","Burundi",9389,"Eastern Africa","59",346,"Completed","","All Men","Sub-Saharan Africa","All Women","","2012-05-01",8596,"4280"
"42","2013-09-03","BU2012MIS",49,"2012-11-01","","Institut National de Statistique et d’Études Économiques (ISTEEBU)","26, 20, 101, 57, 15, 41, 79, 90, 89","MIS","2012",1,15,"2012","2013-01-01","BU","200","Burundi",5149,"Eastern Africa","",446,"Completed","","","Sub-Saharan Africa","All Women","","2013-06-01",4866,""
"43","2018-04-05","BU2016DHS",49,"2016-10-01","15","Institut de Statistiques et d’Etudes Economiques du Burundi (ISTEEBU)","26, 45, 80, 86, 91, 94, 70, 67, 5, 1, 33, 32, 39, 69, 57, 59, 20, 17, 34, 13, 4, 60, 68, 15, 41, 10, 24, 21, 23, 11, 6, 14, 104, 74, 79, 92, 3, 31, 22, 124, 89","DHS","2016-17",1,15,"2016","2017-02-01","BU","554","Burundi",17269,"Eastern Africa","59",463,"Completed","","All Men","Sub-Saharan Africa","All Women","","2017-12-01",15977,"7552"
"44","2001-06-01","KH2000DHS",49,"2000-02-01","","National Institute of Statistics/Ministry of Health","1, 3, 6, 15, 21, 24, 26, 61, 9, 41, 10, 20, 31, 101, 33, 16, 14, 13","DHS","2000",1,15,"2000","2000-07-01","KH","","Cambodia",15351,"Southeast Asia","",140,"Completed","","","South & Southeast Asia","All Women","","2001-06-01",12236,""
"45","2006-12-01","KH2005DHS",49,"2005-09-01","15","Ministry of Planning/National Institute of Statistics","16, 24, 21, 6, 1, 3, 23, 10, 11, 15, 31, 14, 34, 57, 17, 36, 13, 61, 41, 59, 20, 79, 101, 26, 33, 88, 104","DHS","2005",1,15,"2005","2006-03-01","KH","557","Cambodia",16823,"Southeast Asia","49",257,"Completed","","All Men","South & Southeast Asia","All Women","","2006-12-01",14243,"6731"
"46","2011-10-24","KH2010DHS",49,"2010-07-01","15","National Institute of Statistics (NIS)","32, 16, 15, 41, 10, 31, 22, 26, 38, 24, 21, 14, 11, 20, 34, 13, 1, 3, 17, 69, 101, 79","DHS","2010",1,15,"2010","2011-01-01","KH","611","Cambodia",18754,"Southeast Asia","49",310,"Completed","","All Men","South & Southeast Asia","All Women","A couples dataset could not be generated since the household line number of the wife/partner (used to create variable MV034 and to link the man with his wife/partner) was not recorded in the Man’s Questionnaire.","2011-09-01",15667,"8239"
"47","2015-10-20","KH2014DHS",49,"2014-06-01","15","National Institute of Statistics (NIS – Ministry of Planning) in collaboration with the Ministry of Health (MoH)).","22, 11, 26, 31, 38, 69, 24, 21, 14, 20, 17, 34, 13, 87, 15, 16, 41, 10, 32, 6, 1, 101, 79, 33, 3, 85, 80, 103","DHS","2014",1,15,"2014","2014-12-01","KH","611","Cambodia",17578,"Southeast Asia","49",464,"Completed","","All Men","South & Southeast Asia","All Women","","2015-09-01",15825,"5190"
"48","2023-04-04","KH2021DHS",49,"2021-09-01","15","National Institute of Statistics (NIS)","17, 10, 1, 16, 33, 31, 22, 74, 79, 92, 69, 24, 21, 14, 59, 11, 20, 60, 30, 34, 3, 70, 6, 134, 13, 67, 85, 107","DHS","2021-22",1,15,"2021","2022-02-01","KH","674","Cambodia",19496,"Southeast Asia","49",558,"Completed","","All Men","South & Southeast Asia","All Women","","2023-03-15",20806,"8825"
"49","1992-12-01","CM1991DHS",49,"1991-04-01","","Ministère du Plan et de l’Aménagement du Territoire","2, 12, 10, 61, 26, 11, 101","DHS","1991",1,15,"1991","1991-09-01","CM","149","Cameroon",3871,"Middle Africa","",38,"Completed","149","Husbands","Sub-Saharan Africa","All Women","","1992-12-01",3538,"814"
"50","1999-03-01","CM1998DHS",49,"1998-02-01","15","Bureau Central des Recensements et Études de Population","1, 11, 21, 24, 14, 16, 101, 10, 26","DHS","1998",1,15,"1998","1998-06-01","CM","203","Cameroon",5501,"Middle Africa","59",101,"Completed","","All Men","Sub-Saharan Africa","All Women","","1999-03-01",4697,"2562"
"51","2005-06-01","CM2004DHS",49,"2004-02-01","15","Institut National de la Statistique","57, 34, 16, 41, 20, 33, 101, 24, 21, 23, 15, 31, 14, 11, 13, 4, 1, 26, 6, 10, 59, 3, 79, 104","DHS","2004",1,15,"2004","2004-08-01","CM","466","Cameroon",10656,"Middle Africa","59",232,"Completed","","All Men","Sub-Saharan Africa","All Women","","2005-06-01",10462,"5280"
"52","2012-12-10","CM2011DHS",49,"2011-01-01","15","Institut National de la Statistique (INS)","24, 21, 23, 11, 39, 69, 16, 15, 10, 31, 32, 38, 14, 57, 59, 34, 13, 5, 6, 33, 1, 3, 26, 20, 87, 101, 41, 80, 79, 89, 85, 104","DHS","2011",1,15,"2011","2011-08-01","CM","580","Cameroon",15426,"Middle Africa","59",337,"Completed","","All Men","Sub-Saharan Africa","All Women","","2012-09-01",14214,"7191"
"53","2020-06-10","CM2018DHS",49,"2018-06-01","15","National Institute of Statistics (NIS)
","23, 16, 100, 70, 89, 11, 26, 68, 91, 104, 33, 41, 10, 24, 21, 34, 6, 1, 92, 79, 110","DHS","2018",1,15,"2018","2018-12-01","CM","470","Cameroon",13527,"Middle Africa","64",511,"Completed","","All Men","Sub-Saharan Africa","All Women","","2020-02-01",11710,"6978"
"54","2023-10-27","CM2022MIS",49,"2022-08-01","","National Institute of Statistics (NIS)","70, 92, 26, 57, 89, 41, 106","MIS","2022",1,15,"2022","2022-11-01","CM","444","Cameroon",6532,"Middle Africa","",563,"Completed","","","Sub-Saharan Africa","All Women","","2023-10-15",6031,""
"55","1995-12-01","CF1994DHS",49,"1994-09-01","15","Direction des Statistiques Démographiques et Sociales","1, 2, 4, 11, 21, 24, 14, 26, 10, 101, 61, 3","DHS","1994-95",1,15,"1994","1995-03-01","CF","231","Central African Republic",5884,"Middle Africa","59",66,"Completed","231","All Men","Sub-Saharan Africa","All Women","","1995-12-01",5551,"1729"
"56","1998-05-01","TD1997DHS",49,"1996-12-01","15","Bureau Central du Recensement","1, 2, 11, 21, 24, 10, 61, 101, 14, 3","DHS","1996-97",1,15,"1997","1997-07-01","TD","","Chad",7454,"Middle Africa","59",83,"Completed","246","All Men","Sub-Saharan Africa","All Women","","1998-05-01",6840,"2320"
"57","2005-09-01","TD2004DHS",49,"2004-07-01","15","Institut National de la Statistique, des Études Économiques et Démographiques (INSEED)","36, 16, 24, 10, 11, 13, 4, 2, 101, 21, 14, 20, 5, 1, 31, 3","DHS","2004",1,15,"2004","2004-12-01","TD","196","Chad",6085,"Middle Africa","59",215,"Completed","196","All Men","Sub-Saharan Africa","All Women","","2005-09-01",5369,"1887"
"58","2016-07-11","TD2014DHS",49,"2014-10-01","15","Institut National de la Statistique, des Études Économique et Démographiques (INSEED)","10, 33, 67, 32, 39, 34, 5, 6, 4, 1, 101, 104, 24, 21, 23, 11, 3, 85, 79, 80, 26, 57","DHS","2014-15",1,15,"2014","2015-04-01","TD","626","Chad",17719,"Middle Africa","59",465,"Completed","","All Men","Sub-Saharan Africa","All Women","","2016-05-01",17233,"5248"
"59","1988-03-01","CO1986DHS",49,"1986-09-01","","Corporación Centro Regional de Población/Ministerio de Salud de Colombia","2, 10, 101","DHS","1986",1,15,"1986","1986-12-01","CO","","Colombia",5329,"South America","",4,"Completed","181","","Latin America & Caribbean","All Women","","1988-03-01",4273,""
"60","1991-06-01","CO1990DHS",49,"1990-05-01","","PROFAMILIA","22, 20, 76, 6, 101, 17, 24, 21, 79, 60","DHS","1990",1,15,"1990","1990-08-01","CO","","Colombia",8644,"South America","",30,"Completed","","","Latin America & Caribbean","All Women","","1991-06-01",7412,""
"61","1995-10-01","CO1995DHS",49,"1995-03-01","","PROFAMILIA","21, 22, 24, 67, 79, 101, 69, 10, 60, 20, 33, 3, 6, 74","DHS","1995",1,15,"1995","1995-06-01","CO","","Colombia",11140,"South America","",72,"Completed","","","Latin America & Caribbean","All Women","","1995-10-01",10112,""
"62","2000-10-01","CO2000DHS",49,"2000-02-01","","PROFAMILIA","6, 24, 21, 36, 33, 60, 16, 69, 32, 20, 79, 101, 10, 22, 34, 67, 57, 3, 31, 5, 74","DHS","2000",1,15,"2000","2000-06-01","CO","1023","Colombia",11585,"South America","",141,"Completed","","","Latin America & Caribbean","All Women","Although testing salt for iodine appears in the household questionnare, it was not implemented.","2000-10-01",10907,""
"63","2005-11-01","CO2005DHS",49,"2004-10-01","","PROFAMILIA","34, 16, 36, 69, 94, 67, 70, 33, 21, 15, 10, 31, 22, 32, 20, 17, 13, 6, 75, 76, 79, 3, 74","DHS","2005",1,13,"2005","2005-06-01","CO","3935","Colombia",41344,"South America","",255,"Completed","","","Latin America & Caribbean","All Women","","2005-11-01",37211,""
"64","2011-03-17","CO2010DHS",49,"2009-11-01","","PROFAMILIA","10, 22, 26, 24, 21, 34, 33, 20, 79, 69, 94, 70, 67, 6, 32, 17, 16, 5, 31, 76, 3, 85, 57","DHS","2010",1,13,"2010","2010-11-01","CO","5000","Colombia",53521,"South America","",381,"Completed","","","Latin America & Caribbean","All Women","Other Data (COOD60FL.ZIP) - Contains data collected on Cytology and the Elderly.","2011-02-01",51447,""
"65","2017-04-13","CO2015DHS",49,"2015-02-01","13","PROFAMILIA","31, 32, 69, 24, 21, 20, 34, 5, 22, 79, 94, 75, 76, 11, 77, 6, 1, 60, 3, 67, 33, 16, 70, 85","DHS","2015",1,13,"2015","2016-03-01","CO","","Colombia",38718,"South America","59",476,"Completed","","All Men","Latin America & Caribbean","All Women","","2017-01-01",44614,"35783"
"66","1997-03-01","KM1996DHS",49,"1996-03-01","15","Centre National de Documentation et de Recherche Scientifique","11, 21, 24, 10, 101, 3","DHS","1996",1,15,"1996","1996-05-01","KM","100","Comoros",3050,"Eastern Africa","64",93,"Completed","","All Men","Sub-Saharan Africa","All Women","","1997-03-01",2252,"795"
"67","2014-06-05","KM2012DHS",49,"2012-08-01","15","Direction General de la Statistique et de la Prospective (DGSP)","11, 10, 31, 32, 39, 24, 21, 14, 57, 8, 20, 22, 17, 34, 13, 5, 6, 1, 3, 101, 26, 33, 69, 59, 79","DHS","2012",1,15,"2012","2012-12-01","KM","252","Comoros",5329,"Eastern Africa","59",443,"Completed","","All Men","Sub-Saharan Africa","All Women","","2014-02-01",4482,"2167"
