"","FileFormat","FileSize","DatasetType","SurveyNum","SurveyId","FileType","FileDateLastModified","SurveyType","SurveyYearLabel","SurveyYear","DHS_CountryCode","FileName","CountryName"
"42","Flat ASCII data (.dat)",8203,"Survey Datasets",471,"AF2015DHS","Fieldworker Questionnaire","August, 03 2017 16:46:54","DHS","2015","2015","AF","AFFW71FL.ZIP","Afghanistan"
"43","SAS dataset (.sas7bdat) ",6192,"Survey Datasets",471,"AF2015DHS","Fieldworker Questionnaire","August, 03 2017 16:46:54","DHS","2015","2015","AF","AFFW71SD.ZIP","Afghanistan"
"44","SPSS dataset (.sav)",6536,"Survey Datasets",471,"AF2015DHS","Fieldworker Questionnaire","August, 03 2017 16:46:54","DHS","2015","2015","AF","AFFW71SV.ZIP","Afghanistan"
"45","Flat ASCII data (.dat)",5640731,"Survey Datasets",471,"AF2015DHS","Children's Recode","August, 18 2020 14:19:40","DHS","2015","2015","AF","AFKR71FL.ZIP","Afghanistan"
"46","SAS dataset (.sas7bdat) ",8137872,"Survey Datasets",471,"AF2015DHS","Children's Recode","August, 18 2020 14:18:52","DHS","2015","2015","AF","AFKR71SD.ZIP","Afghanistan"
"47","SPSS dataset (.sav)",6508035,"Survey Datasets",471,"AF2015DHS","Children's Recode","August, 18 2020 14:17:57","DHS","2015","2015","AF","AFKR71SV.ZIP","Afghanistan"
"48","Hierarchical ASCII data (.dat)",1853748,"Survey Datasets",471,"AF2015DHS","Men's Recode","August, 18 2020 14:19:27","DHS","2015","2015","AF","AFMR71.ZIP","Afghanistan"
"49","Stata dataset (.dta)",1483228,"Survey Datasets",471,"AF2015DHS","Men's Recode","August, 18 2020 14:18:29","DHS","2015","2015","AF","AFMR71DT.ZIP","Afghanistan"
"50","Flat ASCII data (.dat)",1560657,"Survey Datasets",471,"AF2015DHS","Men's Recode","August, 18 2020 14:19:53","DHS","2015","2015","AF","AFMR71FL.ZIP","Afghanistan"
"51","SAS dataset (.sas7bdat) ",2055940,"Survey Datasets",471,"AF2015DHS","Men's Recode","August, 18 2020 14:19:14","DHS","2015","2015","AF","AFMR71SD.ZIP","Afghanistan"
"52","SPSS dataset (.sav)",1804384,"Survey Datasets",471,"AF2015DHS","Men's Recode","August, 18 2020 14:18:07","DHS","2015","2015","AF","AFMR71SV.ZIP","Afghanistan"
"53","Stata dataset (.dta)",4499374,"Survey Datasets",471,"AF2015DHS","Household Member Recode","August, 18 2020 14:18:28","DHS","2015","2015","AF","AFPR71DT.ZIP","Afghanistan"
"54","Flat ASCII data (.dat)",5350213,"Survey Datasets",471,"AF2015DHS","Household Member Recode","August, 18 2020 14:19:51","DHS","2015","2015","AF","AFPR71FL.ZIP","Afghanistan"
"55","SAS dataset (.sas7bdat) ",7469274,"Survey Datasets",471,"AF2015DHS","Household Member Recode","August, 18 2020 14:19:13","DHS","2015","2015","AF","AFPR71SD.ZIP","Afghanistan"
"56","SPSS dataset (.sav)",8407301,"Survey Datasets",471,"AF2015DHS","Household Member Recode","August, 18 2020 14:18:06","DHS","2015","2015","AF","AFPR71SV.ZIP","Afghanistan"
"57","Stata dataset (.dta)",562725,"SPA Datasets",543,"AF2018SPA","Facility","October, 21 2020 17:20:16","SPA","2018-19","2018","AF","AFFC7ADTSR.ZIP","Afghanistan"
"58","Flat ASCII data (.dat)",723088,"SPA Datasets",543,"AF2018SPA","Facility","October, 21 2020 17:20:22","SPA","2018-19","2018","AF","AFFC7AFLSR.ZIP","Afghanistan"
"59","SAS dataset (.sas7bdat) ",585302,"SPA Datasets",543,"AF2018SPA","Facility","October, 21 2020 17:20:11","SPA","2018-19","2018","AF","AFFC7ASDSR.ZIP","Afghanistan"
"60","SPSS dataset (.sav)",571128,"SPA Datasets",543,"AF2018SPA","Facility","October, 21 2020 17:20:07","SPA","2018-19","2018","AF","AFFC7ASVSR.ZIP","Afghanistan"
"61","Stata dataset (.dta)",325399,"SPA Datasets",543,"AF2018SPA","Family Planning","October, 21 2020 17:20:17","SPA","2018-19","2018","AF","AFFP7ADTSR.ZIP","Afghanistan"
"62","Flat ASCII data (.dat)",352064,"SPA Datasets",543,"AF2018SPA","Family Planning","October, 21 2020 17:20:23","SPA","2018-19","2018","AF","AFFP7AFLSR.ZIP","Afghanistan"
"63","SAS dataset (.sas7bdat) ",328929,"SPA Datasets",543,"AF2018SPA","Family Planning","October, 21 2020 17:20:12","SPA","2018-19","2018","AF","AFFP7ASDSR.ZIP","Afghanistan"
"64","SPSS dataset (.sav)",329396,"SPA Datasets",543,"AF2018SPA","Family Planning","October, 21 2020 17:20:08","SPA","2018-19","2018","AF","AFFP7ASVSR.ZIP","Afghanistan"
"65","Stata dataset (.dta)",317669,"SPA Datasets",543,"AF2018SPA","Labor Delivery","October, 21 2020 17:20:18","SPA","2018-19","2018","AF","AFLD7ADTSR.ZIP","Afghanistan"
"66","Flat ASCII data (.dat)",341494,"SPA Datasets",543,"AF2018SPA","Labor Delivery","October, 21 2020 17:20:23","SPA","2018-19","2018","AF","AFLD7AFLSR.ZIP","Afghanistan"
"67","SAS dataset (.sas7bdat) ",317947,"SPA Datasets",543,"AF2018SPA","Labor Delivery","October, 21 2020 17:20:13","SPA","2018-19","2018","AF","AFLD7ASDSR.ZIP","Afghanistan"
"68","SPSS dataset (.sav)",318919,"SPA Datasets",543,"AF2018SPA","Labor Delivery","October, 21 2020 17:20:08","SPA","2018-19","2018","AF","AFLD7ASVSR.ZIP","Afghanistan"
"69","Stata dataset (.dta)",347128,"SPA Datasets",543,"AF2018SPA","Provider","October, 21 2020 17:20:19","SPA","2018-19","2018","AF","AFPV7ADTSR.ZIP","Afghanistan"
"70","Flat ASCII data (.dat)",363947,"SPA Datasets",543,"AF2018SPA","Provider","October, 21 2020 17:20:24","SPA","2018-19","2018","AF","AFPV7AFLSR.ZIP","Afghanistan"
"71","SAS dataset (.sas7bdat) ",369187,"SPA Datasets",543,"AF2018SPA","Provider","October, 21 2020 17:20:13","SPA","2018-19","2018","AF","AFPV7ASDSR.ZIP","Afghanistan"
"72","SPSS dataset (.sav)",349593,"SPA Datasets",543,"AF2018SPA","Provider","October, 21 2020 17:20:09","SPA","2018-19","2018","AF","AFPV7ASVSR.ZIP","Afghanistan"
"73","Stata dataset (.dta)",340172,"SPA Datasets",543,"AF2018SPA","Sick Child","October, 21 2020 17:20:19","SPA","2018-19","2018","AF","AFSC7ADTSR.ZIP","Afghanistan"
"74","Flat ASCII data (.dat)",360611,"SPA Datasets",543,"AF2018SPA","Sick Child","October, 21 2020 17:20:25","SPA","2018-19","2018","AF","AFSC7AFLSR.ZIP","Afghanistan"
"75","SAS dataset (.sas7bdat) ",353505,"SPA Datasets",543,"AF2018SPA","Sick Child","October, 21 2020 17:20:14","SPA","2018-19","2018","AF","AFSC7ASDSR.ZIP","Afghanistan"
"76","SPSS dataset (.sav)",347446,"SPA Datasets",543,"AF2018SPA","Sick Child","October, 21 2020 17:20:09","SPA","2018-19","2018","AF","AFSC7ASVSR.ZIP","Afghanistan"
"77","Stata dataset (.dta)",294819,"SPA Datasets",543,"AF2018SPA","Staff/Provider Listing","October, 21 2020 17:20:20","SPA","2018-19","2018","AF","AFSL7ADTSR.ZIP","Afghanistan"
"78","Flat ASCII data (.dat)",296659,"SPA Datasets",543,"AF2018SPA","Staff/Provider Listing","October, 21 2020 17:20:25","SPA","2018-19","2018","AF","AFSL7AFLSR.ZIP","Afghanistan"
"79","SAS dataset (.sas7bdat) ",300588,"SPA Datasets",543,"AF2018SPA","Staff/Provider Listing","October, 21 2020 17:20:15","SPA","2018-19","2018","AF","AFSL7ASDSR.ZIP","Afghanistan"
"80","SPSS dataset (.sav)",294919,"SPA Datasets",543,"AF2018SPA","Staff/Provider Listing","October, 21 2020 17:20:10","SPA","2018-19","2018","AF","AFSL7ASVSR.ZIP","Afghanistan"
"81","Flat ASCII data (.dat)",86136,"SPA Datasets",543,"AF2018SPA","Provider","August, 15 2019 12:07:21","SPA","2018-19","2018","AF","AFPV7AFLSP.ZIP","Afghanistan"
"82","Flat ASCII data (.dat)",85286,"SPA Datasets",543,"AF2018SPA","Labor Delivery","August, 15 2019 12:07:20","SPA","2018-19","2018","AF","AFLD7AFLSP.ZIP","Afghanistan"
"83","SAS dataset (.sas7bdat) ",55772,"SPA Datasets",543,"AF2018SPA","Labor Delivery","August, 15 2019 12:07:20","SPA","2018-19","2018","AF","AFLD7ASDSP.ZIP","Afghanistan"
"84","SPSS dataset (.sav)",56449,"SPA Datasets",543,"AF2018SPA","Labor Delivery","August, 15 2019 12:07:20","SPA","2018-19","2018","AF","AFLD7ASVSP.ZIP","Afghanistan"
"85","Stata dataset (.dta)",72869,"SPA Datasets",543,"AF2018SPA","Provider","August, 15 2019 12:07:21","SPA","2018-19","2018","AF","AFPV7ADTSP.ZIP","Afghanistan"
"86","SAS dataset (.sas7bdat) ",101101,"SPA Datasets",543,"AF2018SPA","Provider","August, 15 2019 12:07:21","SPA","2018-19","2018","AF","AFPV7ASDSP.ZIP","Afghanistan"
"87","SPSS dataset (.sav)",93165,"SPA Datasets",543,"AF2018SPA","Provider","August, 15 2019 12:07:21","SPA","2018-19","2018","AF","AFPV7ASVSP.ZIP","Afghanistan"
"88","Stata dataset (.dta)",67529,"SPA Datasets",543,"AF2018SPA","Sick Child","August, 15 2019 12:07:21","SPA","2018-19","2018","AF","AFSC7ADTSP.ZIP","Afghanistan"
"89","Flat ASCII data (.dat)",100392,"SPA Datasets",543,"AF2018SPA","Sick Child","August, 15 2019 12:07:21","SPA","2018-19","2018","AF","AFSC7AFLSP.ZIP","Afghanistan"
"90","SAS dataset (.sas7bdat) ",78540,"SPA Datasets",543,"AF2018SPA","Sick Child","August, 15 2019 12:07:21","SPA","2018-19","2018","AF","AFSC7ASDSP.ZIP","Afghanistan"
"91","SPSS dataset (.sav)",87984,"SPA Datasets",543,"AF2018SPA","Sick Child","August, 15 2019 12:07:22","SPA","2018-19","2018","AF","AFSC7ASVSP.ZIP","Afghanistan"
"92","Stata dataset (.dta)",69125,"SPA Datasets",543,"AF2018SPA","Staff/Provider Listing","August, 15 2019 12:07:22","SPA","2018-19","2018","AF","AFSL7ADTSP.ZIP","Afghanistan"
"93","Flat ASCII data (.dat)",98372,"SPA Datasets",543,"AF2018SPA","Staff/Provider Listing","August, 15 2019 12:07:22","SPA","2018-19","2018","AF","AFSL7AFLSP.ZIP","Afghanistan"
"94","SAS dataset (.sas7bdat) ",75643,"SPA Datasets",543,"AF2018SPA","Staff/Provider Listing","August, 15 2019 12:07:22","SPA","2018-19","2018","AF","AFSL7ASDSP.ZIP","Afghanistan"
"95","SPSS dataset (.sav)",78131,"SPA Datasets",543,"AF2018SPA","Staff/Provider Listing","August, 15 2019 12:07:22","SPA","2018-19","2018","AF","AFSL7ASVSP.ZIP","Afghanistan"
"96","Stata dataset (.dta)",18337,"GPS Datasets",543,"AF2018SPA","Geographic Data","March, 12 2020 15:45:34","SPA","2018-19","2018","AF","AFGE7ADTSR.ZIP","Afghanistan"
"97","Stata dataset (.dta)",55977,"SPA Datasets",543,"AF2018SPA","Antenatal Care","August, 15 2019 12:07:18","SPA","2018-19","2018","AF","AFAN7ADTSP.ZIP","Afghanistan"
"98","Flat ASCII data (.dat)",81417,"SPA Datasets",543,"AF2018SPA","Antenatal Care","August, 15 2019 12:07:18","SPA","2018-19","2018","AF","AFAN7AFLSP.ZIP","Afghanistan"
"99","SAS dataset (.sas7bdat) ",64092,"SPA Datasets",543,"AF2018SPA","Antenatal Care","August, 15 2019 12:07:18","SPA","2018-19","2018","AF","AFAN7ASDSP.ZIP","Afghanistan"
"100","SPSS dataset (.sav)",73248,"SPA Datasets",543,"AF2018SPA","Antenatal Care","August, 15 2019 12:07:19","SPA","2018-19","2018","AF","AFAN7ASVSP.ZIP","Afghanistan"
"101","Stata dataset (.dta)",301295,"SPA Datasets",543,"AF2018SPA","Facility","August, 15 2019 12:07:19","SPA","2018-19","2018","AF","AFFC7ADTSP.ZIP","Afghanistan"
"102","Flat ASCII data (.dat)",432735,"SPA Datasets",543,"AF2018SPA","Facility","August, 15 2019 12:07:19","SPA","2018-19","2018","AF","AFFC7AFLSP.ZIP","Afghanistan"
"103","SAS dataset (.sas7bdat) ",328516,"SPA Datasets",543,"AF2018SPA","Facility","August, 15 2019 12:07:19","SPA","2018-19","2018","AF","AFFC7ASDSP.ZIP","Afghanistan"
"104","SPSS dataset (.sav)",313856,"SPA Datasets",543,"AF2018SPA","Facility","August, 15 2019 12:07:19","SPA","2018-19","2018","AF","AFFC7ASVSP.ZIP","Afghanistan"
"105","Stata dataset (.dta)",50364,"SPA Datasets",543,"AF2018SPA","Family Planning","August, 15 2019 12:07:19","SPA","2018-19","2018","AF","AFFP7ADTSP.ZIP","Afghanistan"
"106","Flat ASCII data (.dat)",91379,"SPA Datasets",543,"AF2018SPA","Family Planning","August, 15 2019 12:07:20","SPA","2018-19","2018","AF","AFFP7AFLSP.ZIP","Afghanistan"
"107","SAS dataset (.sas7bdat) ",56013,"SPA Datasets",543,"AF2018SPA","Family Planning","August, 15 2019 12:07:20","SPA","2018-19","2018","AF","AFFP7ASDSP.ZIP","Afghanistan"
"108","SPSS dataset (.sav)",64437,"SPA Datasets",543,"AF2018SPA","Family Planning","August, 15 2019 12:07:20","SPA","2018-19","2018","AF","AFFP7ASVSP.ZIP","Afghanistan"
"109","Stata dataset (.dta)",54603,"SPA Datasets",543,"AF2018SPA","Labor Delivery","August, 15 2019 12:07:20","SPA","2018-19","2018","AF","AFLD7ADTSP.ZIP","Afghanistan"
"110","Flat ASCII data (.dat)",345058,"SPA Datasets",543,"AF2018SPA","Antenatal Care","October, 21 2020 17:20:21","SPA","2018-19","2018","AF","AFAN7AFLSR.ZIP","Afghanistan"
"111","SAS dataset (.sas7bdat) ",336017,"SPA Datasets",543,"AF2018SPA","Antenatal Care","October, 21 2020 17:20:10","SPA","2018-19","2018","AF","AFAN7ASDSR.ZIP","Afghanistan"
"112","SPSS dataset (.sav)",334935,"SPA Datasets",543,"AF2018SPA","Antenatal Care","October, 21 2020 17:20:07","SPA","2018-19","2018","AF","AFAN7ASVSR.ZIP","Afghanistan"
"113","Stata dataset (.dta)",327764,"SPA Datasets",543,"AF2018SPA","Antenatal Care","October, 21 2020 17:20:15","SPA","2018-19","2018","AF","AFAN7ADTSR.ZIP","Afghanistan"
"114","Flat ASCII data (.dat)",817774,"GPS Datasets",327,"AL2008DHS","Geospatial Covariates","September, 06 2018 16:09:11","DHS","2008-09","2008","AL","ALGC52FL.ZIP","Albania"
"115","Flat ASCII data (.dat)",858868,"Survey Datasets",327,"AL2008DHS","Men's Recode","January, 14 2020 15:57:16","DHS","2008-09","2008","AL","ALMR51FL.ZIP","Albania"
"116","SAS dataset (.sas7bdat) ",1176964,"Survey Datasets",327,"AL2008DHS","Men's Recode","January, 14 2020 15:57:11","DHS","2008-09","2008","AL","ALMR51SD.ZIP","Albania"
"117","SPSS dataset (.sav)",810779,"Survey Datasets",327,"AL2008DHS","Men's Recode","January, 14 2020 15:57:04","DHS","2008-09","2008","AL","ALMR51SV.ZIP","Albania"
"118","Stata dataset (.dta)",2050055,"Survey Datasets",327,"AL2008DHS","Household Member Recode","January, 14 2020 15:57:07","DHS","2008-09","2008","AL","ALPR51DT.ZIP","Albania"
"119","Flat ASCII data (.dat)",2225797,"Survey Datasets",327,"AL2008DHS","Household Member Recode","January, 14 2020 15:57:15","DHS","2008-09","2008","AL","ALPR51FL.ZIP","Albania"
"120","SAS dataset (.sas7bdat) ",3631556,"Survey Datasets",327,"AL2008DHS","Household Member Recode","January, 14 2020 15:57:11","DHS","2008-09","2008","AL","ALPR51SD.ZIP","Albania"
"121","SPSS dataset (.sav)",2300621,"Survey Datasets",327,"AL2008DHS","Household Member Recode","January, 14 2020 15:57:04","DHS","2008-09","2008","AL","ALPR51SV.ZIP","Albania"
"122","Flat ASCII data (.dat)",34181,"GPS Datasets",327,"AL2008DHS","Geographic Data","March, 03 2012 11:32:37","DHS","2008-09","2008","AL","ALGE51FL.zip","Albania"
"123","Stata dataset (.dta)",2505263,"Survey Datasets",327,"AL2008DHS","Births Recode","January, 14 2020 15:57:07","DHS","2008-09","2008","AL","ALBR51DT.ZIP","Albania"
"124","Flat ASCII data (.dat)",2424830,"Survey Datasets",327,"AL2008DHS","Births Recode","January, 14 2020 15:57:15","DHS","2008-09","2008","AL","ALBR51FL.ZIP","Albania"
"125","SAS dataset (.sas7bdat) ",3947276,"Survey Datasets",327,"AL2008DHS","Births Recode","January, 14 2020 15:57:10","DHS","2008-09","2008","AL","ALBR51SD.ZIP","Albania"
"126","SPSS dataset (.sav)",3297713,"Survey Datasets",327,"AL2008DHS","Births Recode","January, 14 2020 15:57:03","DHS","2008-09","2008","AL","ALBR51SV.ZIP","Albania"
"127","Stata dataset (.dta)",1516286,"Survey Datasets",327,"AL2008DHS","Couples' Recode","January, 14 2020 15:57:08","DHS","2008-09","2008","AL","ALCR51DT.ZIP","Albania"
"128","Flat ASCII data (.dat)",1681778,"Survey Datasets",327,"AL2008DHS","Couples' Recode","January, 14 2020 15:57:16","DHS","2008-09","2008","AL","ALCR51FL.ZIP","Albania"
"129","SAS dataset (.sas7bdat) ",2066530,"Survey Datasets",327,"AL2008DHS","Couples' Recode","January, 14 2020 15:57:11","DHS","2008-09","2008","AL","ALCR51SD.ZIP","Albania"
"130","SPSS dataset (.sav)",1611505,"Survey Datasets",327,"AL2008DHS","Couples' Recode","January, 14 2020 15:57:05","DHS","2008-09","2008","AL","ALCR51SV.ZIP","Albania"
"131","Stata dataset (.dta)",4179453,"Survey Datasets",327,"AL2008DHS","Household Recode","January, 14 2020 15:57:06","DHS","2008-09","2008","AL","ALHR51DT.ZIP","Albania"
"132","Flat ASCII data (.dat)",4262447,"Survey Datasets",327,"AL2008DHS","Household Recode","January, 14 2020 15:57:14","DHS","2008-09","2008","AL","ALHR51FL.ZIP","Albania"
"133","SAS dataset (.sas7bdat) ",5831932,"Survey Datasets",327,"AL2008DHS","Household Recode","January, 14 2020 15:57:09","DHS","2008-09","2008","AL","ALHR51SD.ZIP","Albania"
"134","SPSS dataset (.sav)",4238730,"Survey Datasets",327,"AL2008DHS","Household Recode","January, 14 2020 15:57:02","DHS","2008-09","2008","AL","ALHR51SV.ZIP","Albania"
"135","Hierarchical ASCII data (.dat)",5519587,"Survey Datasets",327,"AL2008DHS","Individual Recode","January, 14 2020 15:57:12","DHS","2008-09","2008","AL","ALIR51.ZIP","Albania"
"136","Stata dataset (.dta)",4121779,"Survey Datasets",327,"AL2008DHS","Individual Recode","January, 14 2020 15:57:05","DHS","2008-09","2008","AL","ALIR51DT.ZIP","Albania"
"137","Flat ASCII data (.dat)",4139921,"Survey Datasets",327,"AL2008DHS","Individual Recode","January, 14 2020 15:57:13","DHS","2008-09","2008","AL","ALIR51FL.ZIP","Albania"
"138","SAS dataset (.sas7bdat) ",6399049,"Survey Datasets",327,"AL2008DHS","Individual Recode","January, 14 2020 15:57:08","DHS","2008-09","2008","AL","ALIR51SD.ZIP","Albania"
"139","SPSS dataset (.sav)",4486517,"Survey Datasets",327,"AL2008DHS","Individual Recode","January, 14 2020 15:57:00","DHS","2008-09","2008","AL","ALIR51SV.ZIP","Albania"
"140","Stata dataset (.dta)",1088824,"Survey Datasets",327,"AL2008DHS","Children's Recode","January, 14 2020 15:57:06","DHS","2008-09","2008","AL","ALKR51DT.ZIP","Albania"
"141","Flat ASCII data (.dat)",1219023,"Survey Datasets",327,"AL2008DHS","Children's Recode","January, 14 2020 15:57:14","DHS","2008-09","2008","AL","ALKR51FL.ZIP","Albania"
